ID	TaxID	Genus	Species	nonitalic1	nonitalic2	subsp	Assembly	Family
Boeremia_exigua	749465	Boeremia	exigua	''	''	''	GCF_020726555.1	Didymellaceae
Boeremia_lycopersici	749563	Boeremia	lycopersici	''	''	''	GCA_022609225.1	Didymellaceae
Byssothecium_circinans	147558	Byssothecium	circinans	''	''	''	GCA_010015675.1	Massarinaceae
Camarosporium_strobilinum	2949312	Camarosporium	strobilinum	''	''	''	GCA_046563385.1	NA
Cenococcum_geophilum_1.58	794803	Cenococcum	geophilum	'1.58'	''	''	GCF_001692895.1	Gloniaceae
Cercospora_beticola	122368	Cercospora	beticola	''	''	''	GCF_033473495.1	Mycosphaerellaceae
Cercospora_kikuchii	84275	Cercospora	kikuchii	''	''	''	GCF_019650295.1	Mycosphaerellaceae
Cladosporium_halotolerans	1052096	Cladosporium	halotolerans	''	''	''	GCF_011745625.1	Cladosporiaceae
Clavariopsis_aquatica	253306	Clavariopsis	aquatica	''	''	''	GCA_013620735.1	NA
Coniosporium_apollinis_CBS_100218	1168221	Coniosporium	apollinis	'CBS'	'100218'	''	GCF_000281105.1	NA
Corynespora_cassiicola	59586	Corynespora	cassiicola	''	''	''	GCA_022059125.1	Corynesporascaceae
Cumuliphoma_indica	2078556	Cumuliphoma	indica	''	''	''	GCA_040616265.1	Didymellaceae
Curvularia_clavata	95742	Curvularia	clavata	''	''	''	GCA_023920165.1	Pleosporaceae
Curvularia_dactylocteniicola	2051580	Curvularia	dactylocteniicola	''	''	''	GCA_965117985.1	Pleosporaceae
Curvularia_eragrostidis	418125	Curvularia	eragrostidis	''	''	''	GCA_020744315.1	Pleosporaceae
Curvularia_geniculata	418126	Curvularia	geniculata	''	''	''	GCA_016162275.1	Pleosporaceae
Curvularia_hawaiiensis	1230527	Curvularia	hawaiiensis	''	''	''	GCA_026262405.1	Pleosporaceae
Curvularia_homomorpha	1165373	Curvularia	homomorpha	''	''	''	GCA_965118025.1	Pleosporaceae
Curvularia_kusanoi	90978	Curvularia	kusanoi	''	''	''	GCA_011058905.1	Pleosporaceae
Curvularia_papendorfii	1537989	Curvularia	papendorfii	''	''	''	GCA_000817285.1	Pleosporaceae
Curvularia_pisi	2016213	Curvularia	pisi	''	''	''	GCA_965117975.1	Pleosporaceae
Curvularia_soli	2016214	Curvularia	soli	''	''	''	GCA_965117995.1	Pleosporaceae
Curvularia_spicifera	145392	Curvularia	spicifera	''	''	''	GCA_026262435.1	Pleosporaceae
Curvularia_verruculosa	95740	Curvularia	verruculosa	''	''	''	GCA_036172615.1	Pleosporaceae
Darksidea_phi	2704583	Darksidea	phi	''	''	''	GCA_030770425.1	Lentitheciaceae
Delitschia_confertaspora_ATCC_74209	1513339	Delitschia	confertaspora	'ATCC'	'74209'	''	GCA_010093945.1	Delitschiaceae
Dendryphion_nanum	256645	Dendryphion	nanum	''	''	''	GCA_020744415.1	Torulaceae
Didymella_arachidicola	749598	Didymella	arachidicola	''	''	''	GCA_016630955.3	Didymellaceae
Didymella_exigua_CBS_183.55	1150837	Didymella	exigua	'CBS'	'183.55'	''	GCF_010094145.1	Didymellaceae
Didymella_glomerata	749621	Didymella	glomerata	''	''	''	GCA_030271015.1	Didymellaceae
Didymella_heteroderae	1769908	Didymella	heteroderae	''	''	''	GCA_011058895.1	Didymellaceae
Didymella_keratinophila	2301244	Didymella	keratinophila	''	''	''	GCA_011058865.1	Didymellaceae
Didymella_lethalis	749627	Didymella	lethalis	''	''	''	GCA_004335245.1	Didymellaceae
Didymella_pinodella	749633	Didymella	pinodella	''	''	''	GCA_039634465.1	Didymellaceae
Didymella_pinodes	749589	Didymella	pinodes	''	''	''	GCA_026119265.1	Didymellaceae
Didymella_pomorum	749634	Didymella	pomorum	''	''	''	GCA_022225945.2	Didymellaceae
Didymella_segeticola	2021029	Didymella	segeticola	''	''	''	GCA_004522025.1	Didymellaceae
Didymosphaeria_variabile	1932322	Didymosphaeria	variabile	''	''	''	GCF_027946475.1	Didymosphaeriaceae
Diplodia_corticola	236234	Diplodia	corticola	''	''	''	GCF_001883845.1	NA
Diplodia_seriata	420778	Diplodia	seriata	''	''	''	GCF_021436955.1	NA
